model,eq_oracle,tests,states,equivalent,learning_queries,learning_steps,eq_queries,eq_steps
OpenSSH28,randomWp,500000,28,True,755,4001,15771,149600
BitVise57,randomWp,500000,57,True,2059,18185,55482,700495
BitViseOrig,randomWp,500000,66,True,2517,25290,497179,6662177
BitVise63,randomWp,500000,63,True,2331,23694,78475,1045267
BitVise47,randomWp,500000,47,True,1645,14884,19996,238896
OpenSSHOrig,randomWp,500000,27,True,820,6222,9088,96866
OpenSSH29,randomWp,500000,29,True,904,5579,41339,447419
DropBearOrig,randomWp,500000,17,True,541,3147,603,5811
OpenSSH34,randomWp,500000,34,True,1047,5422,39710,388784
OpenSSH36,randomWp,500000,36,True,1031,6498,683,6707
DropBear24,randomWp,500000,24,True,768,3484,164,1508
BitVise59,randomWp,500000,59,True,2270,23605,183435,2423284
OpenSSH31,randomWp,500000,31,True,961,6187,10887,108508
BitVise45,randomWp,500000,45,True,1604,18973,5590,70885
DropBear20,randomWp,500000,20,True,621,2992,1286,11538
DropBear26,randomWp,500000,26,True,752,3499,546,5035
DropBear22,randomWp,500000,22,True,588,2701,898,8297
OpenSSH26,randomWp,500000,26,True,766,4587,2310,22780
BitVise54,randomWp,500000,54,True,1970,23021,25023,321044
BitVise39,randomWp,500000,39,True,1331,8330,17489,186797
OpenSSH28,randomWp,500000,28,True,798,4185,12486,123744
BitVise57,randomWp,500000,57,True,2169,20909,199243,2545972
BitViseOrig,randomWp,500000,66,True,2592,25555,69103,912342
BitVise63,randomWp,500000,63,True,2424,23891,28169,364670
BitVise47,randomWp,500000,47,True,1554,11927,9462,111816
OpenSSHOrig,randomWp,500000,27,True,834,6257,29807,311390
OpenSSH29,randomWp,500000,29,True,818,5107,14143,153572
DropBearOrig,randomWp,500000,17,True,559,3413,2034,21439
OpenSSH34,randomWp,500000,34,True,985,5958,67762,662492
OpenSSH36,randomWp,500000,36,True,985,6338,29330,305814
DropBear24,randomWp,500000,24,True,731,3470,282,2486
BitVise59,randomWp,500000,59,True,2263,20895,109871,1439432
OpenSSH31,randomWp,500000,31,True,883,5378,62329,627745
BitVise45,randomWp,500000,45,True,1540,14965,5181,66823
DropBear20,randomWp,500000,20,True,638,3525,1536,14441
DropBear26,randomWp,500000,26,True,824,3731,61,492
DropBear22,randomWp,500000,22,True,714,3246,2748,26066
OpenSSH26,randomWp,500000,26,True,787,4899,3294,33615
BitVise54,randomWp,500000,54,True,2004,23750,6423,81668
BitVise39,randomWp,500000,39,True,1336,8521,22709,240047
OpenSSH28,randomWp,500000,28,True,837,4441,16634,165235
BitVise57,randomWp,500000,57,True,2133,19873,29121,364749
BitViseOrig,randomWp,500000,66,True,2477,24735,23541,301781
BitVise63,randomWp,500000,63,True,2421,25838,89049,1169012
BitVise47,randomWp,500000,47,True,1636,13159,18854,224970
OpenSSHOrig,randomWp,500000,27,True,838,5182,12399,130832
OpenSSH29,randomWp,500000,29,True,861,6110,7678,82342
DropBearOrig,randomWp,500000,17,True,536,3294,4279,45086
OpenSSH34,randomWp,500000,34,True,950,4984,12969,127151
OpenSSH36,randomWp,500000,36,True,1029,6269,139176,1453422
DropBear24,randomWp,500000,24,True,730,3444,1037,9351
BitVise59,randomWp,500000,59,True,2286,23067,308817,4096696
OpenSSH31,randomWp,500000,31,True,930,5294,2226,22586
BitVise45,randomWp,500000,45,True,1587,19499,11785,151416
DropBear20,randomWp,500000,20,True,623,3504,3902,37341
DropBear26,randomWp,500000,26,True,842,4146,265,2395
DropBear22,randomWp,500000,22,True,716,3367,430,3814
OpenSSH26,randomWp,500000,26,True,791,4804,2025,21185
BitVise54,randomWp,500000,54,True,2012,21939,22684,298620
BitVise39,randomWp,500000,39,True,1425,9431,27613,295609
OpenSSH28,randomWp,500000,28,True,775,4336,112794,1140958
BitVise57,randomWp,500000,57,True,2204,22210,213504,2738488
BitViseOrig,randomWp,500000,66,True,2580,28282,145603,1983178
BitVise63,randomWp,500000,63,True,2458,27663,26969,346508
BitVise47,randomWp,500000,47,True,1678,15558,2809,32761
OpenSSHOrig,randomWp,500000,27,True,782,5724,6022,60841
OpenSSH29,randomWp,500000,29,True,798,5313,68554,741555
DropBearOrig,randomWp,500000,17,True,521,3121,1204,11932
OpenSSH34,randomWp,500000,34,True,1004,5547,15205,149774
OpenSSH36,randomWp,500000,36,True,1017,6844,2505,25438
DropBear24,randomWp,500000,24,True,721,3243,84,709
BitVise59,randomWp,500000,59,True,2242,22597,139733,1842192
OpenSSH31,randomWp,500000,31,True,878,4627,138853,1394993
BitVise45,randomWp,500000,45,True,1662,23018,14561,190252
DropBear20,randomWp,500000,20,True,633,3144,171,1471
DropBear26,randomWp,500000,26,True,771,3373,144,1197
DropBear22,randomWp,500000,22,True,595,2718,724,6806
OpenSSH26,randomWp,500000,26,True,807,4822,47616,501016
BitVise54,randomWp,500000,54,True,1979,22043,12533,153482
BitVise39,randomWp,500000,39,True,1327,9007,30386,325596
OpenSSH28,randomWp,500000,28,True,795,4442,41574,419985
BitVise57,randomWp,500000,57,True,2176,22411,50492,645788
BitViseOrig,randomWp,500000,66,True,2495,24793,172411,2303426
BitVise63,randomWp,500000,63,True,2438,25993,109714,1452911
BitVise47,randomWp,500000,47,True,1638,13311,1879,22021
OpenSSHOrig,randomWp,500000,27,True,808,4941,36249,374824
OpenSSH29,randomWp,500000,29,True,916,5677,5519,59370
DropBearOrig,randomWp,500000,17,True,552,3444,701,6180
OpenSSH34,randomWp,500000,34,True,918,4977,13615,133516
OpenSSH36,randomWp,500000,36,True,1057,6817,158291,1656456
DropBear24,randomWp,500000,24,True,720,3381,148,1185
BitVise59,randomWp,500000,59,True,2226,21665,214470,2836349
OpenSSH31,randomWp,500000,31,True,899,5186,36072,360535
BitVise45,randomWp,500000,45,True,1601,17805,10170,131919
DropBear20,randomWp,500000,20,True,647,3434,791,7531
DropBear26,randomWp,500000,26,True,707,3131,562,4932
DropBear22,randomWp,500000,22,True,736,3283,303,2578
OpenSSH26,randomWp,500000,26,True,758,4479,99415,1041488
BitVise54,randomWp,500000,54,True,2038,20116,60234,799685
BitVise39,randomWp,500000,39,True,1382,8790,9235,97834
OpenSSH28,randomWp,500000,28,True,764,4188,19758,195220
BitVise57,randomWp,500000,57,True,2181,23892,27520,349621
BitViseOrig,randomWp,500000,66,True,2611,32274,184785,2491558
BitVise63,randomWp,500000,63,True,2420,24792,36938,486640
BitVise47,randomWp,500000,47,True,1622,14745,39899,482411
OpenSSHOrig,randomWp,500000,27,True,831,5100,9446,102028
OpenSSH29,randomWp,500000,29,True,896,5549,27602,295193
DropBearOrig,randomWp,500000,17,True,581,3535,751,7569
OpenSSH34,randomWp,500000,34,True,974,5672,5118,49473
OpenSSH36,randomWp,500000,36,True,1026,7276,19970,208720
DropBear24,randomWp,500000,24,True,736,3426,947,8715
BitVise59,randomWp,500000,59,True,2274,20350,222759,2941626
OpenSSH31,randomWp,500000,31,True,896,4798,7879,79259
BitVise45,randomWp,500000,45,True,1625,20268,2765,33585
DropBear20,randomWp,500000,20,True,680,4733,1265,12050
DropBear26,randomWp,500000,26,True,778,3472,145,1292
DropBear22,randomWp,500000,22,True,720,3463,285,2568
OpenSSH26,randomWp,500000,26,True,822,5724,15343,156811
BitVise54,randomWp,500000,54,True,2054,22275,109088,1449679
BitVise39,randomWp,500000,39,True,1355,9074,3474,37214
OpenSSH28,randomWp,500000,28,True,838,4432,11610,116708
BitVise57,randomWp,500000,57,True,2178,21024,88672,1130626
BitViseOrig,randomWp,500000,66,True,2702,28621,85425,1156038
BitVise63,randomWp,500000,63,True,2471,25862,51473,674344
BitVise47,randomWp,500000,47,True,1595,13411,9962,118235
OpenSSHOrig,randomWp,500000,27,True,744,4464,21159,217651
OpenSSH29,randomWp,500000,29,True,873,5609,88805,964715
DropBearOrig,randomWp,500000,17,True,559,3408,589,6241
OpenSSH34,randomWp,500000,34,True,988,5643,9340,91674
OpenSSH36,randomWp,500000,36,True,1019,6089,44987,469570
DropBear24,randomWp,500000,24,True,792,3814,575,5048
BitVise59,randomWp,500000,59,True,2293,24147,73319,959244
OpenSSH31,randomWp,500000,31,True,833,4603,83407,836734
BitVise45,randomWp,500000,45,True,1610,18836,34940,457950
DropBear20,randomWp,500000,20,True,655,3758,2269,21095
DropBear26,randomWp,500000,26,True,807,3660,457,3946
DropBear22,randomWp,500000,22,True,704,3302,1754,16115
OpenSSH26,randomWp,500000,26,True,749,4348,109339,1138808
BitVise54,randomWp,500000,54,True,1978,21937,81749,1092342
BitVise39,randomWp,500000,39,True,1313,8602,16379,173009
OpenSSH28,randomWp,500000,28,True,844,4494,22190,225102
BitVise57,randomWp,500000,57,True,2190,21470,54399,688360
BitViseOrig,randomWp,500000,66,True,2557,26302,144198,1936211
BitVise63,randomWp,500000,63,True,2420,23717,77329,1007368
BitVise47,randomWp,500000,47,True,1682,13824,12961,154332
OpenSSHOrig,randomWp,500000,27,True,847,6006,15968,168760
OpenSSH29,randomWp,500000,29,True,825,5635,75028,812169
DropBearOrig,randomWp,500000,17,True,577,3589,461,4562
OpenSSH34,randomWp,500000,34,True,977,5554,49041,478810
OpenSSH36,randomWp,500000,36,True,980,6902,4082,42044
DropBear24,randomWp,500000,24,True,717,3519,44,334
BitVise59,randomWp,500000,59,True,2233,23609,124874,1649060
OpenSSH31,randomWp,500000,31,True,883,5113,75944,763752
BitVise45,randomWp,500000,45,True,1592,14299,6141,77971
DropBear20,randomWp,500000,20,True,665,3203,263,2546
DropBear26,randomWp,500000,26,True,796,3638,1157,10418
DropBear22,randomWp,500000,22,True,637,2963,1676,15843
OpenSSH26,randomWp,500000,26,True,756,4535,2502,25675
BitVise54,randomWp,500000,54,True,1965,21306,21867,281850
BitVise39,randomWp,500000,39,True,1413,10145,25836,270377
OpenSSH28,randomWp,500000,28,True,869,5332,15747,155277
BitVise57,randomWp,500000,57,True,2109,21508,48819,615500
BitViseOrig,randomWp,500000,66,True,2689,34816,198264,2717413
BitVise63,randomWp,500000,63,True,2466,27230,72070,953497
BitVise47,randomWp,500000,47,True,1620,16152,11537,141422
OpenSSHOrig,randomWp,500000,27,True,758,4696,5570,57410
OpenSSH29,randomWp,500000,29,True,901,6537,42951,459480
DropBearOrig,randomWp,500000,17,True,560,3416,4008,41592
OpenSSH34,randomWp,500000,34,True,992,5127,11863,115630
OpenSSH36,randomWp,500000,36,True,1024,7612,137059,1428577
DropBear24,randomWp,500000,24,True,732,3445,2838,25559
BitVise59,randomWp,500000,59,True,2358,26030,106013,1397007
OpenSSH31,randomWp,500000,31,True,865,4727,141288,1422322
BitVise45,randomWp,500000,45,True,1526,13849,2728,34028
DropBear20,randomWp,500000,20,True,678,4447,788,7233
DropBear26,randomWp,500000,26,True,843,3959,16,139
DropBear22,randomWp,500000,22,True,685,3106,2516,23810
OpenSSH26,randomWp,500000,26,True,827,5019,18570,193538
BitVise54,randomWp,500000,54,True,2053,22325,30842,400953
BitVise39,randomWp,500000,39,True,1318,8753,8298,87216
OpenSSH28,randomWp,500000,28,True,819,4815,44395,446511
BitVise57,randomWp,500000,57,True,2204,20798,78679,1002661
BitViseOrig,randomWp,500000,66,True,2508,24962,363300,4832250
BitVise63,randomWp,500000,63,True,2433,27910,70404,917907
BitVise47,randomWp,500000,47,True,1579,12086,3279,37671
OpenSSHOrig,randomWp,500000,27,True,750,4675,106719,1149482
OpenSSH29,randomWp,500000,29,True,743,4637,3798,41315
DropBearOrig,randomWp,500000,17,True,526,3214,1138,11800
OpenSSH34,randomWp,500000,34,True,1016,5816,4788,46812
OpenSSH36,randomWp,500000,36,True,1021,6677,67474,705038
DropBear24,randomWp,500000,24,True,745,3486,1077,9905
BitVise59,randomWp,500000,59,True,2262,23865,98539,1288977
OpenSSH31,randomWp,500000,31,True,898,4914,6701,67439
BitVise45,randomWp,500000,45,True,1563,18524,17232,227701
DropBear20,randomWp,500000,20,True,657,3883,1942,18556
DropBear26,randomWp,500000,26,True,793,3734,116,1055
DropBear22,randomWp,500000,22,True,716,3358,784,7399
OpenSSH26,randomWp,500000,26,True,817,5008,3932,41877
BitVise54,randomWp,500000,54,True,1951,22807,40374,530411
BitVise39,randomWp,500000,39,True,1328,8882,7496,80294
OpenSSH28,randomWp,500000,28,True,824,4388,27444,276128
BitVise57,randomWp,500000,57,True,2218,21675,58356,742515
BitViseOrig,randomWp,500000,66,True,2716,28483,128627,1673679
BitVise63,randomWp,500000,63,True,2452,23084,21795,289508
BitVise47,randomWp,500000,47,True,1669,16769,6446,80194
OpenSSHOrig,randomWp,500000,27,True,874,6678,40611,436238
OpenSSH29,randomWp,500000,29,True,848,5176,52025,561004
DropBearOrig,randomWp,500000,17,True,553,3311,1508,15643
OpenSSH34,randomWp,500000,34,True,1029,6607,113747,1111385
OpenSSH36,randomWp,500000,36,True,1027,6977,183788,1916611
DropBear24,randomWp,500000,24,True,709,3374,1087,9633
BitVise59,randomWp,500000,59,True,2248,26118,12801,165435
OpenSSH31,randomWp,500000,31,True,930,5047,15862,158978
BitVise45,randomWp,500000,45,True,1564,19181,10022,129894
DropBear20,randomWp,500000,20,True,617,3115,1116,10611
DropBear26,randomWp,500000,26,True,747,3399,469,4128
DropBear22,randomWp,500000,22,True,693,3099,456,4000
OpenSSH26,randomWp,500000,26,True,795,4802,1457,15415
BitVise54,randomWp,500000,54,True,1923,19763,150824,2008990
BitVise39,randomWp,500000,39,True,1423,9828,44898,479800
OpenSSH28,randomWp,500000,28,True,784,4200,47219,478171
BitVise57,randomWp,500000,57,True,2194,21361,14663,182961
BitViseOrig,randomWp,500000,66,True,2609,31504,366890,4953962
BitVise63,randomWp,500000,63,True,2416,22318,31835,417365
BitVise47,randomWp,500000,47,True,1675,12925,7865,92320
OpenSSHOrig,randomWp,500000,27,True,802,4761,7992,83572
OpenSSH29,randomWp,500000,29,True,947,7296,88699,960380
DropBearOrig,randomWp,500000,17,True,563,3464,2656,28024
OpenSSH34,randomWp,500000,34,True,973,6439,123794,1213077
OpenSSH36,randomWp,500000,36,True,987,6742,74019,773012
DropBear24,randomWp,500000,24,True,635,2661,2328,20657
BitVise59,randomWp,500000,59,True,2246,23086,102275,1346289
OpenSSH31,randomWp,500000,31,True,852,4454,233205,2343787
BitVise45,randomWp,500000,45,True,1582,19198,17576,233272
DropBear20,randomWp,500000,20,True,623,3583,740,7002
DropBear26,randomWp,500000,26,True,796,4034,475,4335
DropBear22,randomWp,500000,22,True,582,2625,469,4222
OpenSSH26,randomWp,500000,26,True,772,4544,19625,203908
BitVise54,randomWp,500000,54,True,1948,22912,115167,1541126
BitVise39,randomWp,500000,39,True,1393,9870,2581,27593
OpenSSH28,randomWp,500000,28,True,853,4751,12808,126815
BitVise57,randomWp,500000,57,True,2204,21644,70498,891204
BitViseOrig,randomWp,500000,66,True,2519,24659,131727,1769735
BitVise63,randomWp,500000,63,True,2442,23115,41706,543600
BitVise47,randomWp,500000,47,True,1668,19168,6896,81835
OpenSSHOrig,randomWp,500000,27,True,864,6523,7943,82814
OpenSSH29,randomWp,500000,29,True,892,6007,166283,1798576
DropBearOrig,randomWp,500000,17,True,529,3122,377,3727
OpenSSH34,randomWp,500000,34,True,1026,6626,32508,316476
OpenSSH36,randomWp,500000,36,True,1024,6027,133479,1396149
DropBear24,randomWp,500000,24,True,761,3692,3237,29061
BitVise59,randomWp,500000,59,True,2291,24722,89256,1172832
OpenSSH31,randomWp,500000,31,True,901,4746,49715,500112
BitVise45,randomWp,500000,45,True,1506,19411,22240,288490
DropBear20,randomWp,500000,20,True,609,3252,191,1882
DropBear26,randomWp,500000,26,True,812,4046,1340,11825
DropBear22,randomWp,500000,22,True,696,3134,289,2524
OpenSSH26,randomWp,500000,26,True,718,5105,991,9515
BitVise54,randomWp,500000,54,True,1982,20747,23666,308377
BitVise39,randomWp,500000,39,True,1361,8921,3054,32085
OpenSSH28,randomWp,500000,28,True,813,4446,27425,271014
BitVise57,randomWp,500000,57,True,2214,21145,87595,1111535
BitViseOrig,randomWp,500000,66,True,2509,24286,78637,1068005
BitVise63,randomWp,500000,63,True,2277,21924,91079,1190011
BitVise47,randomWp,500000,47,True,1590,12415,3224,37554
OpenSSHOrig,randomWp,500000,27,True,745,4684,7888,84851
OpenSSH29,randomWp,500000,29,True,868,5323,96577,1043376
DropBearOrig,randomWp,500000,17,True,554,3287,1305,13906
OpenSSH34,randomWp,500000,34,True,1028,6124,53626,523831
OpenSSH36,randomWp,500000,36,True,1013,6054,3928,40071
DropBear24,randomWp,500000,24,True,702,3713,483,4502
BitVise59,randomWp,500000,59,True,2132,22803,39609,520177
OpenSSH31,randomWp,500000,31,True,877,5924,46280,464038
BitVise45,randomWp,500000,45,True,1530,19032,14095,182255
DropBear20,randomWp,500000,20,True,661,3818,376,3547
DropBear26,randomWp,500000,26,True,783,3717,730,6414
DropBear22,randomWp,500000,22,True,676,3348,3155,29288
OpenSSH26,randomWp,500000,26,True,769,4664,23351,246108
BitVise54,randomWp,500000,54,True,2027,18783,31939,423059
BitVise39,randomWp,500000,39,True,1386,9314,7258,74326
OpenSSH28,randomWp,500000,28,True,759,4039,28340,286575
BitVise57,randomWp,500000,57,True,2116,19976,21888,271618
BitViseOrig,randomWp,500000,66,True,2650,37572,319111,4360831
BitVise63,randomWp,500000,63,True,2477,23685,109472,1444207
BitVise47,randomWp,500000,47,True,1666,14589,11807,140823
OpenSSHOrig,randomWp,500000,27,True,838,4900,21205,230852
OpenSSH29,randomWp,500000,29,True,777,4973,4325,47021
DropBearOrig,randomWp,500000,17,True,564,3530,155,1426
OpenSSH34,randomWp,500000,34,True,1005,5261,17669,172006
OpenSSH36,randomWp,500000,36,True,1028,6826,67885,709054
DropBear24,randomWp,500000,24,True,764,3525,108,914
BitVise59,randomWp,500000,59,True,2188,21604,114084,1496443
OpenSSH31,randomWp,500000,31,True,908,5110,17563,175700
BitVise45,randomWp,500000,45,True,1604,16325,4185,50865
DropBear20,randomWp,500000,20,True,649,3497,325,3016
DropBear26,randomWp,500000,26,True,895,3976,143,1278
DropBear22,randomWp,500000,22,True,700,3492,348,3242
OpenSSH26,randomWp,500000,26,True,785,4818,52605,553072
BitVise54,randomWp,500000,54,True,2068,22003,75975,1001190
