model,eq_oracle,tests,states,equivalent,learning_queries,learning_steps,eq_queries,eq_steps
BitVise39,randomWp,500000,39,True,1359,9047,31456,333713
OpenSSH28,randomWp,500000,28,True,844,4884,16676,164396
BitVise57,randomWp,500000,57,True,2130,19316,116083,1478989
BitViseOrig,randomWp,500000,66,True,2659,31292,151388,2036959
BitVise63,randomWp,500000,63,True,2313,20990,62014,804388
BitVise47,randomWp,500000,47,True,1641,17220,9445,112923
OpenSSHOrig,randomWp,500000,27,True,807,5936,16836,173304
OpenSSH29,randomWp,500000,29,True,779,5608,83206,900153
DropBearOrig,randomWp,500000,17,True,540,3464,1144,11908
OpenSSH34,randomWp,500000,34,True,1021,6105,72433,709531
OpenSSH36,randomWp,500000,36,True,1053,6209,3044,31407
DropBear24,randomWp,500000,24,True,739,3511,248,2187
BitVise59,randomWp,500000,59,True,2226,33205,122507,1616866
OpenSSH31,randomWp,500000,31,True,898,5196,55898,562904
BitVise45,randomWp,500000,45,True,1653,21106,5734,72798
DropBear20,randomWp,500000,20,True,627,3647,215,1950
DropBear26,randomWp,500000,26,True,789,3853,169,1521
DropBear22,randomWp,500000,22,True,694,3138,691,6479
OpenSSH26,randomWp,500000,26,True,664,4179,27483,289350
BitVise54,randomWp,500000,54,True,1987,20712,124456,1654525
BitVise39,randomWp,500000,39,True,1385,9152,20700,218925
OpenSSH28,randomWp,500000,28,True,786,4154,21384,211505
BitVise57,randomWp,500000,57,True,2144,19880,92637,1177858
BitViseOrig,randomWp,500000,66,True,2676,34332,154415,2131093
BitVise63,randomWp,500000,63,True,2308,22072,52273,677767
BitVise47,randomWp,500000,47,True,1707,13251,3628,41569
OpenSSHOrig,randomWp,500000,27,True,813,5008,7444,80104
OpenSSH29,randomWp,500000,29,True,797,5083,22514,241844
DropBearOrig,randomWp,500000,17,True,551,3339,1097,10588
OpenSSH34,randomWp,500000,34,True,960,5151,4376,42600
OpenSSH36,randomWp,500000,36,True,1038,6476,7508,76919
DropBear24,randomWp,500000,24,True,730,3400,470,4022
BitVise59,randomWp,500000,59,True,2136,21491,41896,547294
OpenSSH31,randomWp,500000,31,True,860,4797,5814,59314
BitVise45,randomWp,500000,45,True,1630,19364,16615,217105
DropBear20,randomWp,500000,20,True,622,2992,1784,16912
DropBear26,randomWp,500000,26,True,790,3685,856,7698
DropBear22,randomWp,500000,22,True,720,3271,3918,36333
OpenSSH26,randomWp,500000,26,True,758,5293,30355,317442
BitVise54,randomWp,500000,54,True,1923,21805,31018,399760
BitVise39,randomWp,500000,39,True,1399,9289,21679,230746
OpenSSH28,randomWp,500000,28,True,796,4149,164213,1669938
BitVise57,randomWp,500000,57,True,2119,20249,71241,900811
BitViseOrig,randomWp,500000,66,True,2701,33681,166154,2302243
BitVise63,randomWp,500000,63,True,2384,25397,96516,1259575
BitVise47,randomWp,500000,47,True,1602,15530,24399,291270
OpenSSHOrig,randomWp,500000,27,True,822,5044,39804,421885
OpenSSH29,randomWp,500000,29,True,864,6695,8488,89991
DropBearOrig,randomWp,500000,17,True,539,3286,1325,13189
OpenSSH34,randomWp,500000,34,True,1017,5587,13715,133883
OpenSSH36,randomWp,500000,36,True,1078,7249,31283,327182
DropBear24,randomWp,500000,24,True,763,3877,355,3157
BitVise59,randomWp,500000,59,True,2234,21325,169326,2226309
OpenSSH31,randomWp,500000,31,True,898,5365,13131,130708
BitVise45,randomWp,500000,45,True,1585,16608,9041,109935
DropBear20,randomWp,500000,20,True,631,4076,483,4534
DropBear26,randomWp,500000,26,True,846,3801,733,6494
DropBear22,randomWp,500000,22,True,681,3191,284,2661
OpenSSH26,randomWp,500000,26,True,727,4494,10211,105420
BitVise54,randomWp,500000,54,True,1917,18200,42417,548808
BitVise39,randomWp,500000,39,True,1335,8503,1767,18407
OpenSSH28,randomWp,500000,28,True,817,4608,25189,255790
BitVise57,randomWp,500000,57,True,2105,20350,87714,1107543
BitViseOrig,randomWp,500000,66,True,2611,27444,258265,3478893
BitVise63,randomWp,500000,63,True,2534,30946,60184,780190
BitVise47,randomWp,500000,47,True,1646,15784,13106,154441
OpenSSHOrig,randomWp,500000,27,True,868,5470,21321,227951
OpenSSH29,randomWp,500000,29,True,869,5331,177916,1926808
DropBearOrig,randomWp,500000,17,True,539,3349,2072,22129
OpenSSH34,randomWp,500000,34,True,926,4890,84374,828873
OpenSSH36,randomWp,500000,36,True,1027,6802,5276,54193
DropBear24,randomWp,500000,24,True,700,3206,211,1897
BitVise59,randomWp,500000,59,True,2303,24743,110719,1444296
OpenSSH31,randomWp,500000,31,True,884,4641,184490,1854479
BitVise45,randomWp,500000,45,True,1585,17679,4989,62898
DropBear20,randomWp,500000,20,True,630,3715,1044,9732
DropBear26,randomWp,500000,26,True,796,3582,801,7012
DropBear22,randomWp,500000,22,True,681,3490,614,5833
OpenSSH26,randomWp,500000,26,True,758,4539,1233,11814
BitVise54,randomWp,500000,54,True,2033,21483,4459,54354
BitVise39,randomWp,500000,39,True,1344,9388,8894,92476
OpenSSH28,randomWp,500000,28,True,799,5922,139125,1409650
BitVise57,randomWp,500000,57,True,2157,20727,127526,1616143
BitViseOrig,randomWp,500000,66,True,2617,28378,335777,4536575
BitVise63,randomWp,500000,63,True,2470,23667,117227,1544686
BitVise47,randomWp,500000,47,True,1664,16133,10256,124640
OpenSSHOrig,randomWp,500000,27,True,824,5137,6301,66750
OpenSSH29,randomWp,500000,29,True,834,6346,45711,495050
DropBearOrig,randomWp,500000,17,True,590,3634,834,7604
OpenSSH34,randomWp,500000,34,True,1024,6700,7105,69571
OpenSSH36,randomWp,500000,36,True,1030,7254,156251,1629622
DropBear24,randomWp,500000,24,True,707,3197,77,704
BitVise59,randomWp,500000,59,True,2244,23939,84464,1102625
OpenSSH31,randomWp,500000,31,True,875,4788,38031,382145
BitVise45,randomWp,500000,45,True,1499,15017,6258,77930
DropBear20,randomWp,500000,20,True,645,3465,723,6936
DropBear26,randomWp,500000,26,True,799,3511,811,7317
DropBear22,randomWp,500000,22,True,703,3184,501,4547
OpenSSH26,randomWp,500000,26,True,745,4523,21494,223038
BitVise54,randomWp,500000,54,True,2084,20164,47899,630498
BitVise39,randomWp,500000,39,True,1442,9830,17395,182497
OpenSSH28,randomWp,500000,28,True,855,4546,5852,58312
BitVise57,randomWp,500000,57,True,2116,19488,175157,2227951
BitViseOrig,randomWp,500000,66,True,2722,33201,99058,1299810
BitVise63,randomWp,500000,63,True,2382,23629,97974,1294753
BitVise47,randomWp,500000,47,True,1623,19509,2659,31763
OpenSSHOrig,randomWp,500000,27,True,830,5105,8872,95401
OpenSSH29,randomWp,500000,29,True,835,5551,15833,171104
DropBearOrig,randomWp,500000,17,True,525,3184,812,8214
OpenSSH34,randomWp,500000,34,True,1010,5233,33528,327360
OpenSSH36,randomWp,500000,36,True,1065,6531,92331,963249
DropBear24,randomWp,500000,24,True,718,3556,201,1810
BitVise59,randomWp,500000,59,True,2238,23587,306885,4046720
OpenSSH31,randomWp,500000,31,True,910,5229,139728,1406098
BitVise45,randomWp,500000,45,True,1499,15715,21856,289228
DropBear20,randomWp,500000,20,True,626,3038,332,3188
DropBear26,randomWp,500000,26,True,784,3577,656,5844
DropBear22,randomWp,500000,22,True,664,3292,403,3437
OpenSSH26,randomWp,500000,26,True,732,4572,19323,200087
BitVise54,randomWp,500000,54,True,2032,23291,17150,225227
BitVise39,randomWp,500000,39,True,1405,8703,8112,86146
OpenSSH28,randomWp,500000,28,True,800,4562,17884,178790
BitVise57,randomWp,500000,57,True,2114,18635,125065,1591280
BitViseOrig,randomWp,500000,66,True,2531,25284,120260,1618643
BitVise63,randomWp,500000,63,True,2402,23093,30101,390802
BitVise47,randomWp,500000,47,True,1675,12899,9447,109936
OpenSSHOrig,randomWp,500000,27,True,800,4872,4136,43223
OpenSSH29,randomWp,500000,29,True,835,5334,84635,915750
DropBearOrig,randomWp,500000,17,True,551,3275,706,7203
OpenSSH34,randomWp,500000,34,True,946,5653,15947,157541
OpenSSH36,randomWp,500000,36,True,1070,6819,22830,237181
DropBear24,randomWp,500000,24,True,734,3397,742,6794
BitVise59,randomWp,500000,59,True,2322,31176,52686,688004
OpenSSH31,randomWp,500000,31,True,889,4889,45475,456890
BitVise45,randomWp,500000,45,True,1615,20260,6877,89129
DropBear20,randomWp,500000,20,True,619,3581,779,6769
DropBear26,randomWp,500000,26,True,867,4362,299,2671
DropBear22,randomWp,500000,22,True,627,2846,3387,31507
OpenSSH26,randomWp,500000,26,True,756,4431,33935,357301
BitVise54,randomWp,500000,54,True,2027,20453,10100,132045
BitVise39,randomWp,500000,39,True,1346,8556,3016,32087
OpenSSH28,randomWp,500000,28,True,832,4518,11716,117997
BitVise57,randomWp,500000,57,True,2089,21158,78347,1002407
BitViseOrig,randomWp,500000,66,True,2661,32123,153527,2096103
BitVise63,randomWp,500000,63,True,2489,25055,86464,1139244
BitVise47,randomWp,500000,47,True,1606,14124,10274,123031
OpenSSHOrig,randomWp,500000,27,True,876,5382,14674,156830
OpenSSH29,randomWp,500000,29,True,864,7482,322224,3491475
DropBearOrig,randomWp,500000,17,True,544,3265,1013,10455
OpenSSH34,randomWp,500000,34,True,1046,6051,5589,55185
OpenSSH36,randomWp,500000,36,True,1021,6736,59431,620209
DropBear24,randomWp,500000,24,True,790,4001,62,574
BitVise59,randomWp,500000,59,True,2279,23209,133888,1763488
OpenSSH31,randomWp,500000,31,True,860,5343,6359,63092
BitVise45,randomWp,500000,45,True,1550,19340,14996,194055
DropBear20,randomWp,500000,20,True,579,3144,1297,12485
DropBear26,randomWp,500000,26,True,724,3388,208,1861
DropBear22,randomWp,500000,22,True,631,3238,282,2535
OpenSSH26,randomWp,500000,26,True,862,6707,117170,1230463
BitVise54,randomWp,500000,54,True,2005,20489,17255,224248
BitVise39,randomWp,500000,39,True,1372,8947,9003,96311
OpenSSH28,randomWp,500000,28,True,826,4833,86251,877772
BitVise57,randomWp,500000,57,True,2025,19466,51152,645236
BitViseOrig,randomWp,500000,66,True,2427,23612,221751,3021175
BitVise63,randomWp,500000,63,True,2550,26329,61872,811446
BitVise47,randomWp,500000,47,True,1651,16091,14736,176524
OpenSSHOrig,randomWp,500000,27,True,852,6134,12292,130531
OpenSSH29,randomWp,500000,29,True,913,6729,14048,154276
DropBearOrig,randomWp,500000,17,True,567,3413,1605,16334
OpenSSH34,randomWp,500000,34,True,953,4723,45740,447197
OpenSSH36,randomWp,500000,36,True,1021,6424,85899,895228
DropBear24,randomWp,500000,24,True,692,3050,123,978
BitVise59,randomWp,500000,59,True,2303,23211,14783,181984
OpenSSH31,randomWp,500000,31,True,849,4590,61685,619293
BitVise45,randomWp,500000,45,True,1599,15992,3946,51105
DropBear20,randomWp,500000,20,True,575,2744,784,7449
DropBear26,randomWp,500000,26,True,777,3969,358,3243
DropBear22,randomWp,500000,22,True,599,2801,1596,15021
OpenSSH26,randomWp,500000,26,True,664,4293,17134,179542
BitVise54,randomWp,500000,54,True,1989,19452,21339,271286
BitVise39,randomWp,500000,39,True,1388,9389,19289,205196
OpenSSH28,randomWp,500000,28,True,757,4444,150550,1530467
BitVise57,randomWp,500000,57,True,2155,19162,151707,1930289
BitViseOrig,randomWp,500000,66,True,2528,26118,395749,5310037
BitVise63,randomWp,500000,63,True,2468,27591,50024,648217
BitVise47,randomWp,500000,47,True,1597,13813,11399,137496
OpenSSHOrig,randomWp,500000,27,True,826,5096,4296,44552
OpenSSH29,randomWp,500000,29,True,879,5705,3188,34280
DropBearOrig,randomWp,500000,17,True,546,3385,793,7205
OpenSSH34,randomWp,500000,34,True,980,5622,26886,264018
OpenSSH36,randomWp,500000,36,True,1048,7355,61136,637738
DropBear24,randomWp,500000,24,True,721,3272,2915,26387
BitVise59,randomWp,500000,59,True,2325,26535,31139,403008
OpenSSH31,randomWp,500000,31,True,895,4937,305793,3079364
BitVise45,randomWp,500000,45,True,1556,18920,3354,37100
DropBear20,randomWp,500000,20,True,635,3629,559,5383
DropBear26,randomWp,500000,26,True,790,3540,128,1116
DropBear22,randomWp,500000,22,True,718,3591,155,1424
OpenSSH26,randomWp,500000,26,True,771,4508,53005,557889
BitVise54,randomWp,500000,54,True,2085,19583,42954,564519
BitVise39,randomWp,500000,39,True,1300,8462,48067,512856
OpenSSH28,randomWp,500000,28,True,821,4706,233854,2380004
BitVise57,randomWp,500000,57,True,2228,21661,46248,588171
BitViseOrig,randomWp,500000,66,True,2693,29811,90583,1206590
BitVise63,randomWp,500000,63,True,2442,23547,38634,502029
BitVise47,randomWp,500000,47,True,1669,14422,16496,196480
OpenSSHOrig,randomWp,500000,27,True,850,6378,18153,189324
OpenSSH29,randomWp,500000,29,True,866,5653,8369,89800
DropBearOrig,randomWp,500000,17,True,591,3530,2099,21514
OpenSSH34,randomWp,500000,34,True,1002,6026,8124,79300
OpenSSH36,randomWp,500000,36,True,1010,6607,32960,343555
DropBear24,randomWp,500000,24,True,686,3179,1118,10115
BitVise59,randomWp,500000,59,True,2190,25190,68198,891188
OpenSSH31,randomWp,500000,31,True,901,5713,49358,496574
BitVise45,randomWp,500000,45,True,1566,16860,3835,47840
DropBear20,randomWp,500000,20,True,656,3822,3425,32169
DropBear26,randomWp,500000,26,True,829,4273,762,6962
DropBear22,randomWp,500000,22,True,629,2808,1779,16105
OpenSSH26,randomWp,500000,26,True,779,4648,758,7738
BitVise54,randomWp,500000,54,True,1923,20014,50489,668382
BitVise39,randomWp,500000,39,True,1381,10181,12510,129739
OpenSSH28,randomWp,500000,28,True,856,4697,187190,1903832
BitVise57,randomWp,500000,57,True,2135,19845,45379,564369
BitViseOrig,randomWp,500000,66,True,2413,23461,80228,1027516
BitVise63,randomWp,500000,63,True,2354,21668,25871,337714
BitVise47,randomWp,500000,47,True,1547,12827,11502,138213
OpenSSHOrig,randomWp,500000,27,True,905,6528,33138,338598
OpenSSH29,randomWp,500000,29,True,902,5527,18049,199637
DropBearOrig,randomWp,500000,17,True,505,3229,5448,57060
OpenSSH34,randomWp,500000,34,True,1014,6202,5000,48779
OpenSSH36,randomWp,500000,36,True,983,5931,13522,140739
DropBear24,randomWp,500000,24,True,731,3363,253,2079
BitVise59,randomWp,500000,59,True,2230,24214,26217,342456
OpenSSH31,randomWp,500000,31,True,876,4858,14090,141244
BitVise45,randomWp,500000,45,True,1582,18669,33851,444206
DropBear20,randomWp,500000,20,True,644,3783,350,3367
DropBear26,randomWp,500000,26,True,819,3698,526,4585
DropBear22,randomWp,500000,22,True,574,2834,583,5221
OpenSSH26,randomWp,500000,26,True,789,4761,166239,1752982
BitVise54,randomWp,500000,54,True,1999,26027,40736,535532
BitVise39,randomWp,500000,39,True,1458,11033,2531,25900
OpenSSH28,randomWp,500000,28,True,746,4131,59824,603196
BitVise57,randomWp,500000,57,True,2144,19571,65288,826914
BitViseOrig,randomWp,500000,66,True,2530,25728,64786,858843
BitVise63,randomWp,500000,63,True,2511,26683,117785,1561926
BitVise47,randomWp,500000,47,True,1628,13297,6723,79156
OpenSSHOrig,randomWp,500000,27,True,860,5534,16298,176214
OpenSSH29,randomWp,500000,29,True,814,5909,33267,359024
DropBearOrig,randomWp,500000,17,True,533,3171,1905,19577
OpenSSH34,randomWp,500000,34,True,911,5098,18612,182944
OpenSSH36,randomWp,500000,36,True,1074,6945,61962,646912
DropBear24,randomWp,500000,24,True,722,3431,7,40
BitVise59,randomWp,500000,59,True,2239,27285,114143,1503755
OpenSSH31,randomWp,500000,31,True,857,4742,16914,168874
BitVise45,randomWp,500000,45,True,1595,16161,13198,171844
DropBear20,randomWp,500000,20,True,651,3818,726,6721
DropBear26,randomWp,500000,26,True,816,3577,729,6310
DropBear22,randomWp,500000,22,True,692,3501,6183,58108
OpenSSH26,randomWp,500000,26,True,772,4615,15714,165825
BitVise54,randomWp,500000,54,True,1949,20056,69187,919072
BitVise39,randomWp,500000,39,True,1377,8734,3434,36309
OpenSSH28,randomWp,500000,28,True,779,4095,167331,1693741
BitVise57,randomWp,500000,57,True,2155,20029,122359,1559580
BitViseOrig,randomWp,500000,66,True,2675,29491,163796,2142473
BitVise63,randomWp,500000,63,True,2421,26087,29313,381921
BitVise47,randomWp,500000,47,True,1654,12789,13018,156117
OpenSSHOrig,randomWp,500000,27,True,836,5993,1662,17661
OpenSSH29,randomWp,500000,29,True,884,5770,2674,29422
DropBearOrig,randomWp,500000,17,True,557,3384,2476,25569
OpenSSH34,randomWp,500000,34,True,978,5260,10829,106483
OpenSSH36,randomWp,500000,36,True,1007,5971,29889,313119
DropBear24,randomWp,500000,24,True,769,3557,278,2307
BitVise59,randomWp,500000,59,True,2209,19709,68368,889825
OpenSSH31,randomWp,500000,31,True,828,4740,144292,1453572
BitVise45,randomWp,500000,45,True,1568,15673,5998,77309
DropBear20,randomWp,500000,20,True,619,4117,3251,31246
DropBear26,randomWp,500000,26,True,816,3805,303,2692
DropBear22,randomWp,500000,22,True,652,3027,783,7346
OpenSSH26,randomWp,500000,26,True,787,4702,401,3951
BitVise54,randomWp,500000,54,True,2044,20983,33023,436512
BitVise39,randomWp,500000,39,True,1413,9479,21303,227383
OpenSSH28,randomWp,500000,28,True,803,5889,54815,553026
BitVise57,randomWp,500000,57,True,2145,19464,94586,1205684
BitViseOrig,randomWp,500000,66,True,2695,33135,201776,2697009
BitVise63,randomWp,500000,63,True,2460,29952,109933,1461151
BitVise47,randomWp,500000,47,True,1664,12732,7992,93703
OpenSSHOrig,randomWp,500000,27,True,788,5687,53922,576809
OpenSSH29,randomWp,500000,29,True,834,5028,203054,2197861
DropBearOrig,randomWp,500000,17,True,543,3194,1959,20602
OpenSSH34,randomWp,500000,34,True,972,5180,40742,400526
OpenSSH36,randomWp,500000,36,True,1027,6640,75732,789684
DropBear24,randomWp,500000,24,True,724,3157,1381,12607
BitVise59,randomWp,500000,59,True,2244,28694,77720,1021311
OpenSSH31,randomWp,500000,31,True,843,4888,15755,156778
BitVise45,randomWp,500000,45,True,1584,19174,7128,92148
DropBear20,randomWp,500000,20,True,665,3693,424,3762
DropBear26,randomWp,500000,26,True,782,3572,901,7968
DropBear22,randomWp,500000,22,True,694,3314,1323,12200
OpenSSH26,randomWp,500000,26,True,756,4427,792,7938
BitVise54,randomWp,500000,54,True,1959,21544,110450,1470327
BitVise39,randomWp,500000,39,True,1343,10529,5359,57191
