method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,false_positives,false_negatives,learned_models,len(specifications),start_specs
AL#,WpK,WpK,None,0,0,0,0,225465,1251326,0,0,40,8,None
IF-AL#,WpK,WpK,sep_seq,106,122,179639,999233,44943,249916,0,0,40,8,None
IF-AL#,WpK,WpK,adg,80,96,179640,999230,44947,249924,0,0,40,8,None
IF-L#,WpK,WpK,sep_seq,106,122,179639,999233,44885,249706,0,0,40,8,None
IF-L#,WpK,WpK,adg,80,96,179640,999230,44915,249764,0,0,40,8,None
L#,WpK,WpK,None,0,0,0,0,225436,1251427,0,0,40,8,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,23732,130000,0,0,40,8,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,106,122,15712,93307,4728,26130,0,0,40,8,None
IF-AL#,RandomWp100,RandomWp100,adg,80,96,15797,93395,4759,26189,0,0,40,8,None
IF-L#,RandomWp100,RandomWp100,sep_seq,106,122,15821,93726,4839,26910,0,0,40,8,None
IF-L#,RandomWp100,RandomWp100,adg,80,96,15973,94595,4711,26093,0,0,40,8,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,23788,131157,1,0,39,8,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,45418,818101,0,0,40,8,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,106,122,32008,639712,9145,163559,0,0,40,8,None
IF-AL#,RandomWord1000,RandomWord1000,adg,80,96,32007,640418,9130,164337,0,0,40,8,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,106,122,32006,639015,9065,163446,0,0,40,8,None
IF-L#,RandomWord1000,RandomWord1000,adg,80,96,32004,641427,9093,164403,0,0,40,8,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,45505,821492,0,0,40,8,None
AL#,WpK,WpK,None,0,0,0,0,225465,1251326,0,0,40,8,None
IF-AL#,WpK,WpK,sep_seq,106,122,179639,999233,44943,249916,0,0,40,8,None
IF-AL#,WpK,WpK,adg,80,96,179640,999230,44947,249924,0,0,40,8,None
IF-L#,WpK,WpK,sep_seq,106,122,179639,999233,44885,249706,0,0,40,8,None
IF-L#,WpK,WpK,adg,80,96,179640,999230,44915,249764,0,0,40,8,None
L#,WpK,WpK,None,0,0,0,0,225436,1251427,0,0,40,8,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,23761,130609,0,0,40,8,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,106,122,15728,93141,4852,26700,0,0,40,8,None
IF-AL#,RandomWp100,RandomWp100,adg,80,96,15874,93815,4711,26117,0,0,40,8,None
IF-L#,RandomWp100,RandomWp100,sep_seq,106,122,15803,93662,4763,26460,0,0,40,8,None
IF-L#,RandomWp100,RandomWp100,adg,80,96,15660,92838,4750,26113,0,0,40,8,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,24026,132291,0,0,40,8,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,45415,820837,0,0,40,8,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,106,122,32006,640577,9130,164246,0,0,40,8,None
IF-AL#,RandomWord1000,RandomWord1000,adg,80,96,32004,639988,9137,164983,0,0,40,8,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,106,122,32012,640381,9071,164638,0,0,40,8,None
IF-L#,RandomWord1000,RandomWord1000,adg,80,96,32009,640832,9064,163361,0,0,40,8,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,45511,820483,0,0,40,8,None
AL#,WpK,WpK,None,0,0,0,0,225477,1251365,0,0,40,8,None
IF-AL#,WpK,WpK,sep_seq,106,122,179639,999233,44939,249892,0,0,40,8,None
IF-AL#,WpK,WpK,adg,80,96,179640,999230,44943,249900,0,0,40,8,None
IF-L#,WpK,WpK,sep_seq,106,122,179639,999233,44877,249662,0,0,40,8,None
IF-L#,WpK,WpK,adg,80,96,179640,999230,44915,249764,0,0,40,8,None
L#,WpK,WpK,None,0,0,0,0,225445,1251456,0,0,40,8,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,23738,130313,0,0,40,8,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,106,122,15693,93325,4796,26460,0,0,40,8,None
IF-AL#,RandomWp100,RandomWp100,adg,80,96,15686,92861,4783,26260,0,0,40,8,None
IF-L#,RandomWp100,RandomWp100,sep_seq,106,122,15900,94188,4669,25901,0,0,40,8,None
IF-L#,RandomWp100,RandomWp100,adg,80,96,15759,93400,4713,26303,0,0,40,8,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,23974,132239,0,0,40,8,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,45413,815721,0,0,40,8,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,106,122,32006,643517,9124,164040,0,0,40,8,None
IF-AL#,RandomWord1000,RandomWord1000,adg,80,96,32004,640425,9133,164637,0,0,40,8,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,106,122,32007,641931,9080,163939,0,0,40,8,None
IF-L#,RandomWord1000,RandomWord1000,adg,80,96,32010,640165,9104,163704,0,0,40,8,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,45472,820843,0,0,40,8,None
AL#,WpK,WpK,None,0,0,0,0,225461,1251302,0,0,40,8,None
IF-AL#,WpK,WpK,sep_seq,106,122,179639,999233,44943,249916,0,0,40,8,None
IF-AL#,WpK,WpK,adg,80,96,179640,999230,44943,249900,0,0,40,8,None
IF-L#,WpK,WpK,sep_seq,106,122,179639,999233,44885,249706,0,0,40,8,None
IF-L#,WpK,WpK,adg,80,96,179640,999230,44907,249720,0,0,40,8,None
L#,WpK,WpK,None,0,0,0,0,225429,1251376,0,0,40,8,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,23741,130552,0,0,40,8,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,106,122,15792,93439,4734,25930,0,0,40,8,None
IF-AL#,RandomWp100,RandomWp100,adg,80,96,15915,94536,4738,26327,0,0,40,8,None
IF-L#,RandomWp100,RandomWp100,sep_seq,106,122,15692,93022,4728,26226,0,0,40,8,None
IF-L#,RandomWp100,RandomWp100,adg,80,96,15738,93722,4802,26508,0,0,40,8,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,23755,130929,0,0,40,8,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,45375,818459,0,0,40,8,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,106,122,32006,641206,9124,163976,0,0,40,8,None
IF-AL#,RandomWord1000,RandomWord1000,adg,80,96,32004,640628,9123,164529,0,0,40,8,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,106,122,32008,639638,9079,164065,0,0,40,8,None
IF-L#,RandomWord1000,RandomWord1000,adg,80,96,32006,639709,9075,164419,0,0,40,8,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,45502,820778,0,0,40,8,None
AL#,WpK,WpK,None,0,0,0,0,225454,1251290,0,0,40,8,None
IF-AL#,WpK,WpK,sep_seq,106,122,179639,999233,44943,249916,0,0,40,8,None
IF-AL#,WpK,WpK,adg,80,96,179640,999230,44943,249900,0,0,40,8,None
IF-L#,WpK,WpK,sep_seq,106,122,179639,999233,44885,249706,0,0,40,8,None
IF-L#,WpK,WpK,adg,80,96,179640,999230,44915,249764,0,0,40,8,None
L#,WpK,WpK,None,0,0,0,0,225425,1251361,0,0,40,8,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,23815,130429,0,0,40,8,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,106,122,15690,93033,4885,26882,0,0,40,8,None
IF-AL#,RandomWp100,RandomWp100,adg,80,96,15861,94047,4728,26130,0,0,40,8,None
IF-L#,RandomWp100,RandomWp100,sep_seq,106,122,15701,93224,4735,26156,0,0,40,8,None
IF-L#,RandomWp100,RandomWp100,adg,80,96,15761,93564,4697,26096,0,0,40,8,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,23963,132077,0,0,40,8,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,45393,817747,0,0,40,8,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,106,122,32007,639582,9123,164367,0,0,40,8,None
IF-AL#,RandomWord1000,RandomWord1000,adg,80,96,32004,639999,9122,164321,0,0,40,8,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,106,122,32006,639773,9086,162634,0,0,40,8,None
IF-L#,RandomWord1000,RandomWord1000,adg,80,96,32004,639329,9107,164748,0,0,40,8,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,45522,821392,0,0,40,8,None
AL#,WpK,WpK,None,0,0,0,0,225454,1251290,0,0,40,8,None
IF-AL#,WpK,WpK,sep_seq,106,122,179639,999233,44939,249896,0,0,40,8,None
IF-AL#,WpK,WpK,adg,80,96,179640,999230,44943,249900,0,0,40,8,None
IF-L#,WpK,WpK,sep_seq,106,122,179639,999233,44885,249706,0,0,40,8,None
IF-L#,WpK,WpK,adg,80,96,179640,999230,44915,249764,0,0,40,8,None
L#,WpK,WpK,None,0,0,0,0,225423,1251357,0,0,40,8,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,23814,130737,0,0,40,8,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,106,122,15691,93113,4815,26519,0,0,40,8,None
IF-AL#,RandomWp100,RandomWp100,adg,80,96,15656,92945,4731,25883,0,0,40,8,None
IF-L#,RandomWp100,RandomWp100,sep_seq,106,122,15687,92886,4707,25936,0,0,40,8,None
IF-L#,RandomWp100,RandomWp100,adg,80,96,15622,92643,4743,26406,0,0,40,8,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,23840,131455,0,0,40,8,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,45363,819761,0,0,40,8,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,106,122,32007,639517,9124,164476,0,0,40,8,None
IF-AL#,RandomWord1000,RandomWord1000,adg,80,96,32010,640268,9126,163572,0,0,40,8,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,106,122,32006,640155,9109,165094,0,0,40,8,None
IF-L#,RandomWord1000,RandomWord1000,adg,80,96,32004,640136,9090,163261,0,0,40,8,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,45486,820786,0,0,40,8,None
AL#,WpK,WpK,None,0,0,0,0,225450,1251266,0,0,40,8,None
IF-AL#,WpK,WpK,sep_seq,106,122,179639,999233,44943,249916,0,0,40,8,None
IF-AL#,WpK,WpK,adg,80,96,179640,999230,44943,249904,0,0,40,8,None
IF-L#,WpK,WpK,sep_seq,106,122,179639,999233,44885,249706,0,0,40,8,None
IF-L#,WpK,WpK,adg,80,96,179640,999230,44911,249740,0,0,40,8,None
L#,WpK,WpK,None,0,0,0,0,225426,1251383,0,0,40,8,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,23764,130344,0,0,40,8,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,106,122,15888,94258,4814,26471,0,0,40,8,None
IF-AL#,RandomWp100,RandomWp100,adg,80,96,15754,93408,4801,26444,0,0,40,8,None
IF-L#,RandomWp100,RandomWp100,sep_seq,106,122,15816,93814,4643,25734,0,0,40,8,None
IF-L#,RandomWp100,RandomWp100,adg,80,96,15682,93029,4707,26233,0,0,40,8,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,24027,132666,0,1,39,9,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,45460,815998,0,0,40,8,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,106,122,32010,641875,9118,164237,0,0,40,8,None
IF-AL#,RandomWord1000,RandomWord1000,adg,80,96,32007,640482,9129,164050,0,0,40,8,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,106,122,32006,639187,9092,163887,0,0,40,8,None
IF-L#,RandomWord1000,RandomWord1000,adg,80,96,32011,638949,9091,163808,0,0,40,8,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,45516,820632,0,0,40,8,None
AL#,WpK,WpK,None,0,0,0,0,225461,1251306,0,0,40,8,None
IF-AL#,WpK,WpK,sep_seq,106,122,179639,999233,44932,249854,0,0,40,8,None
IF-AL#,WpK,WpK,adg,80,96,179640,999230,44947,249924,0,0,40,8,None
IF-L#,WpK,WpK,sep_seq,106,122,179639,999233,44877,249662,0,0,40,8,None
IF-L#,WpK,WpK,adg,80,96,179640,999230,44910,249729,0,0,40,8,None
L#,WpK,WpK,None,0,0,0,0,225433,1251385,0,0,40,8,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,23750,130511,0,0,40,8,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,106,122,15789,93615,4735,26109,0,0,40,8,None
IF-AL#,RandomWp100,RandomWp100,adg,80,96,15716,92897,4771,26152,0,0,40,8,None
IF-L#,RandomWp100,RandomWp100,sep_seq,106,122,15882,94233,4737,26475,0,0,40,8,None
IF-L#,RandomWp100,RandomWp100,adg,80,96,15726,93229,4736,26303,0,0,40,8,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,23830,131462,0,0,40,8,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,45447,817736,0,0,40,8,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,106,122,32012,639296,9127,165161,0,0,40,8,None
IF-AL#,RandomWord1000,RandomWord1000,adg,80,96,32008,639240,9121,164216,0,0,40,8,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,106,122,32007,640384,9114,164212,0,0,40,8,None
IF-L#,RandomWord1000,RandomWord1000,adg,80,96,32014,639717,9046,164341,0,0,40,8,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,45507,820642,0,0,40,8,None
AL#,WpK,WpK,None,0,0,0,0,225458,1251285,0,0,40,8,None
IF-AL#,WpK,WpK,sep_seq,106,122,179639,999233,44935,249872,0,0,40,8,None
IF-AL#,WpK,WpK,adg,80,96,179640,999230,44943,249900,0,0,40,8,None
IF-L#,WpK,WpK,sep_seq,106,122,179639,999233,44881,249682,0,0,40,8,None
IF-L#,WpK,WpK,adg,80,96,179640,999230,44915,249764,0,0,40,8,None
L#,WpK,WpK,None,0,0,0,0,225447,1251481,0,0,40,8,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,23776,130386,0,0,40,8,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,106,122,15940,94672,4644,25619,0,0,40,8,None
IF-AL#,RandomWp100,RandomWp100,adg,80,96,15834,93874,4758,26168,0,0,40,8,None
IF-L#,RandomWp100,RandomWp100,sep_seq,106,122,15734,93566,4792,26373,0,0,40,8,None
IF-L#,RandomWp100,RandomWp100,adg,80,96,15786,93741,4786,26519,0,0,40,8,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,24021,132189,0,0,40,8,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,45384,818988,0,0,40,8,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,106,122,32012,639173,9116,162893,0,0,40,8,None
IF-AL#,RandomWord1000,RandomWord1000,adg,80,96,32005,639783,9165,164475,0,0,40,8,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,106,122,32007,641121,9063,164512,0,0,40,8,None
IF-L#,RandomWord1000,RandomWord1000,adg,80,96,32005,641366,9065,163672,0,0,40,8,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,45517,820486,0,0,40,8,None
AL#,WpK,WpK,None,0,0,0,0,225454,1251290,0,0,40,8,None
IF-AL#,WpK,WpK,sep_seq,106,122,179639,999233,44939,249896,0,0,40,8,None
IF-AL#,WpK,WpK,adg,80,96,179640,999230,44943,249900,0,0,40,8,None
IF-L#,WpK,WpK,sep_seq,106,122,179639,999233,44877,249662,0,0,40,8,None
IF-L#,WpK,WpK,adg,80,96,179640,999230,44907,249711,0,0,40,8,None
L#,WpK,WpK,None,0,0,0,0,225446,1251465,0,0,40,8,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,23775,130627,0,0,40,8,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,106,122,15842,94071,4781,26408,0,0,40,8,None
IF-AL#,RandomWp100,RandomWp100,adg,80,96,15676,92785,4813,26341,0,0,40,8,None
IF-L#,RandomWp100,RandomWp100,sep_seq,106,122,15837,93647,4773,26599,0,0,40,8,None
IF-L#,RandomWp100,RandomWp100,adg,80,96,15691,93033,4674,25808,0,0,40,8,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,23838,131790,0,0,40,8,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,45349,819785,0,0,40,8,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,106,122,32007,639586,9116,163321,0,0,40,8,None
IF-AL#,RandomWord1000,RandomWord1000,adg,80,96,32005,641500,9136,165257,0,0,40,8,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,106,122,32006,640035,9027,164432,0,0,40,8,None
