method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,learning_fp,matching_fp,learned_models,len(specifications),b,FCQs,TFCQ,TLCQ
IF-AL#,RandomWp100,RandomWp100,adg,2454,7838,410704,2728455,27371,171844,11,65,520,29,None,589,567,29
IF-AL#,RandomWp100,RandomWp25,adg,2541,8273,414484,2765507,12940,69960,11,37,548,31,None,590,565,31
IF-AL#,RandomWp100,RandomWp50,adg,2615,8395,410388,2735435,18893,110387,14,53,529,32,None,589,564,32
IF-AL#,RandomWp100,RandomWp100,adg,2341,6531,418107,2792549,24567,155790,6,51,539,23,None,589,573,23
IF-AL#,RandomWp100,RandomWp25,adg,2579,8298,414625,2764915,12241,65831,8,45,543,27,None,589,569,27
IF-AL#,RandomWp100,RandomWp50,adg,2481,8221,413436,2757966,18710,108778,9,45,542,29,None,588,567,29
IF-AL#,RandomWp100,RandomWp100,adg,2384,7678,405424,2682794,27801,172099,13,79,504,30,None,590,566,30
IF-AL#,RandomWp100,RandomWp25,adg,2459,7910,406373,2696056,12615,67544,16,72,508,34,None,590,562,34
IF-AL#,RandomWp100,RandomWp50,adg,2345,6538,416303,2780498,16545,96124,7,52,537,24,None,589,572,24
IF-AL#,RandomWp100,RandomWp100,adg,2493,8099,416502,2778998,27533,173977,9,46,541,28,None,588,568,28
IF-AL#,RandomWp100,RandomWp25,adg,2538,8272,419901,2809192,13044,70888,10,28,558,30,None,589,566,30
IF-AL#,RandomWp100,RandomWp50,adg,2388,6631,422756,2832545,17318,102898,5,24,567,25,None,589,571,25
IF-AL#,RandomWp100,RandomWp100,adg,2487,8277,412233,2747368,30672,192088,10,49,537,30,None,588,566,30
IF-AL#,RandomWp100,RandomWp25,adg,2554,8609,406715,2709610,14623,77037,19,45,532,38,None,589,558,38
IF-AL#,RandomWp100,RandomWp50,adg,2484,7893,409672,2718084,18867,110487,10,65,521,29,None,589,567,29
IF-AL#,RandomWp100,RandomWp100,adg,2344,6516,416463,2781898,26089,164827,8,51,537,26,None,589,570,26
IF-AL#,RandomWp100,RandomWp25,adg,2411,7121,397673,2605204,13029,70278,13,120,463,32,None,589,564,32
IF-AL#,RandomWp100,RandomWp50,adg,2465,7942,412484,2743277,18217,106415,9,59,528,29,None,589,567,29
IF-AL#,RandomWp100,RandomWp100,adg,2369,6599,419466,2805152,27134,172335,6,36,554,25,None,589,571,25
IF-AL#,RandomWp100,RandomWp25,adg,2364,6557,417090,2787124,11762,63650,8,39,549,27,None,589,569,27
IF-AL#,RandomWp100,RandomWp50,adg,2486,8035,416451,2780228,18054,105876,12,38,546,31,None,590,565,31
IF-AL#,RandomWp100,RandomWp100,adg,2467,7656,411303,2725375,27604,173910,8,71,517,27,None,589,569,27
IF-AL#,RandomWp100,RandomWp25,adg,2407,6740,420801,2817931,11888,65086,8,31,557,27,None,589,569,27
IF-AL#,RandomWp100,RandomWp50,adg,2355,6427,419806,2806523,16437,96344,5,38,553,25,None,589,571,25
IF-AL#,RandomWp100,RandomWp100,adg,2443,7660,408222,2701345,27949,175041,10,80,506,28,None,590,568,28
IF-AL#,RandomWp100,RandomWp25,adg,2511,8216,407667,2715433,14137,75809,15,49,532,36,None,589,560,36
IF-AL#,RandomWp100,RandomWp50,adg,2364,6544,420243,2810115,15770,93850,4,37,555,24,None,589,572,24
IF-AL#,RandomWp100,RandomWp100,adg,2380,6744,398025,2611760,29151,182408,10,114,472,29,None,590,567,29
IF-AL#,RandomWp100,RandomWp25,adg,2614,8363,411987,2758259,15658,84877,18,20,558,39,None,589,557,39
IF-AL#,RandomWp100,RandomWp50,adg,2624,8156,406630,2701607,18263,106624,13,70,513,31,None,588,565,31
IF-AL#,RandomWp100,RandomWp100,adg,2369,8957,417817,2792628,28281,178570,8,37,551,28,None,589,568,28
IF-AL#,RandomWp100,RandomWp25,adg,2151,6814,418599,2796627,12062,65102,5,37,554,25,None,589,571,25
IF-AL#,RandomWp100,RandomWp50,adg,2353,6543,417274,2788411,17377,102277,6,39,551,25,None,589,571,25
IF-AL#,RandomWp100,RandomWp100,adg,2253,5860,418911,2800687,24230,152149,5,42,549,24,None,589,572,24
IF-AL#,RandomWp100,RandomWp25,adg,2458,7576,409466,2723774,11716,63145,12,67,517,29,None,589,567,29
IF-AL#,RandomWp100,RandomWp50,adg,2364,6520,420419,2809265,15598,91381,3,38,555,22,None,589,574,22
IF-AL#,RandomWp100,RandomWp100,adg,2359,6549,416572,2784719,28385,180502,7,38,551,27,None,589,569,27
IF-AL#,RandomWp100,RandomWp25,adg,2480,7913,413993,2751790,12582,69675,13,56,527,33,None,589,563,33
IF-AL#,RandomWp100,RandomWp50,adg,2351,6553,416616,2781376,16252,94663,8,51,537,25,None,589,571,25
IF-AL#,RandomWp100,RandomWp100,adg,2360,6536,421078,2817381,24992,158027,2,36,558,22,None,589,574,22
IF-AL#,RandomWp100,RandomWp25,adg,2447,7834,416991,2779476,12706,68272,13,35,548,33,None,590,563,33
IF-AL#,RandomWp100,RandomWp50,adg,2457,7851,416657,2778511,15999,94136,7,48,541,26,None,589,570,26
IF-AL#,RandomWp100,RandomWp100,adg,2357,6553,413599,2761440,27824,176565,10,53,533,28,None,590,568,28
IF-AL#,RandomWp100,RandomWp25,adg,2374,7497,407984,2690987,12492,66868,14,83,499,32,None,588,564,32
IF-AL#,RandomWp100,RandomWp50,adg,2432,6745,418185,2796540,16517,98185,6,41,549,25,None,589,571,25
IF-AL#,RandomWp100,RandomWp100,adg,2364,6520,421293,2817330,24835,157102,2,37,557,22,None,589,574,22
IF-AL#,RandomWp100,RandomWp25,adg,2683,10140,415389,2774326,12662,67631,9,42,545,29,None,590,567,29
IF-AL#,RandomWp100,RandomWp50,adg,2483,7945,408051,2709997,17906,105458,14,67,515,32,None,590,564,32
IF-AL#,RandomWp100,RandomWp100,adg,2256,5909,419935,2807019,25139,157920,5,38,553,24,None,589,572,24
IF-AL#,RandomWp100,RandomWp25,adg,2472,7843,412783,2743507,11787,63958,10,64,522,29,None,589,567,29
IF-AL#,RandomWp100,RandomWp50,adg,2427,8107,424833,2851797,18634,109289,7,8,581,29,None,588,567,29
IF-AL#,RandomWp100,RandomWp100,adg,2370,6554,419378,2805032,25696,160097,6,37,553,25,None,589,571,25
IF-AL#,RandomWp100,RandomWp25,adg,2626,9360,408676,2701082,12002,64689,8,83,505,27,None,590,569,27
IF-AL#,RandomWp100,RandomWp50,adg,2370,6524,417703,2791366,17032,99364,6,40,550,26,None,589,570,26
IF-AL#,RandomWp100,RandomWp100,adg,2463,7912,411440,2732709,29098,182817,8,66,522,28,None,589,568,28
IF-AL#,RandomWp100,RandomWp25,adg,2439,7948,408216,2710586,12295,66527,14,64,518,32,None,589,564,32
IF-AL#,RandomWp100,RandomWp50,adg,2350,8286,412717,2747902,18069,105477,12,54,530,31,None,589,565,31
IF-AL#,RandomWp100,RandomWp100,adg,2460,7980,411836,2738381,29763,186623,10,58,528,30,None,588,566,30
IF-AL#,RandomWp100,RandomWp25,adg,2469,7804,409595,2717410,12265,65260,12,74,510,30,None,589,566,30
IF-AL#,RandomWp100,RandomWp50,adg,2500,7708,405684,2683111,17692,102819,12,85,499,30,None,589,566,30
